name,description,section
SOFT KNIT MINI DRESS,round neck long sleeve dress ribbed trim,WOMAN
KNIT MINI DRESS,round neck sleeveless dress,WOMAN
LACE TRIM DENIM DRESS,straight neck midi dress with spaghetti straps matching lace detail side metal zip closure,WOMAN
SHORT SOFT DRESS,long sleeve mini dress with mock neck aline silhouette,WOMAN
RUFFLED SATIN EFFECT DRESS,midi dress with tied vneckline adjustable thin straps back cut out detail side hidden inseam zip closure,WOMAN
ANIMAL PRINT TULLE DRESS,sleeveless high collar mini dress ruching detail at sides matching interior lining closure at side and shoulder with hidden inseam zipper,WOMAN
SATIN EFFECT SLIP DRESS,round neck mini dress with spaghetti straps floral appliqu at chest and side vents back hidden inseam zip closure,WOMAN
VEST DRESS WITH BOX PLEAT SKIRT,twopiece look dress halter neck with vneckline and open back box pleat skirt front slit hidden inseam side zipper closure and front button closure,WOMAN
RUCHED SOFT LONG DRESS,long fitted dress made with soft touch fabric tonal rib high collar and long sleeves ruching detail at side,WOMAN
LONG A-LINE DRESS,long dress with round neck and long sleeves aline silhouette,WOMAN
SOFT KNIT MIDI DRESS,long sleeve high collar dress rib trim,WOMAN
TAILORED MINI DRESS,mini dress made of technical fabric round neck and very short sleeves back hidden inseam zip closure,WOMAN
SHORT TEXTURED DRESS,mini dress made of textured fabric high collar and long sleeves,WOMAN
GATHERED WAIST KNIT CARDIGAN,cardigan with vneckline and long sleeves fitted waist with side ruching front button closure,WOMAN
SHORT LACE DRESS,short dress with square neckline and wide straps lace trim at neckline and hem interior lining back hidden inseam zip closure,WOMAN
COMBINATION VEST DRESS,vneck dress with long sleeves and elastic cuffs metallic thread detail and vest in combination velvet fabric interior lining flounced hem front buttons,WOMAN
WASHED EFFECT FITTED RIB DRESS,fitted midi dress made of washed effect cotton round neckline ripped detail due to the dyeing and washing processes the color on each item is unique and special and may differ slightly from the one pictured,WOMAN
DOTTED MINI DRESS,dress with flowing collar and long sleeves elastic ruched waist,WOMAN
STRIPED MOCK NECK KNIT DRESS,long sleeve mini dress with high collar aline silhouette,WOMAN
RUCHED OFF THE SHOULDER DRESS,fitted short dress made of cotton blend fabric strapless turneddown straight neckline with long sleeves,WOMAN
RIB MOCK NECK MIDI DRESS,fitted midi dress with high collar and cap sleeves,WOMAN
DRESS ZW COLLECTION,zara woman collection midi dress made with wool blend fabric round neckline pronounced seam detail interior lining back hidden inseam zip closure midi dress with refined lines and a minimalist cut made in knit fabric that is pleasant to the touch a simple and sophisticated fabric with polished details such as the cut at the waist to provide structure with a minimalistic vision,WOMAN
WOOL JACQUARD DRESS ZW COLLECTION,zara woman collection dress made with wool blend fabric high collar and long sleeves jacquard fabric detail tonal rib trim the contrasts of the fabrics are the star of this double layered dress one knit and the other in a semisheer jacquard that creates an ethereal effect matching pants available,WOMAN
BELTED SHIRTDRESS ZW COLLECTION,zara woman collection long dress with lapel collar and short sleeves patch pockets with flaps at chest belt with self lined buckle asymmetric tiers at skirt front button closure,WOMAN
SHORT SLEEVE KNIT DRESS,mini dress with vneck and short sleeves strap detail with metal eyelets,WOMAN
FITTED POLYAMIDE DRESS,long sleeve fitted dress with round neckline pronounced front seam detail,WOMAN
DRAPED WAIST MIDI DRESS,lapel collar dress with long sleeves and epaulettes front patch pockets with flaps tailored waist with side gathers slit at hem front button and side hidden inseam zip closure,WOMAN
LONG KNIT DRESS,long dress with round neck and long sleeves rib trim,WOMAN
LONG STRIPED KNIT DRESS,round neck long sleeve dress,WOMAN
LONG BUTTON DRESS,long dress with high collar and long sleeves front metal button detail,WOMAN
LEATHER LACE DRESS,short dress made of leather straight neckline and spaghetti straps tonal lace appliqu back hidden inseam zip closure,WOMAN
FITTED SOFT DRESS,fitted dress with high collar and short sleeves soft feel fabric,WOMAN
SOFT DRESS WITH PEARLS,sleeveless high collar mini dress faux pearl appliqu soft feel fabric,WOMAN
LONG POLYAMIDE DRESS,long fitted dress round neck and very short sleeves,WOMAN
RUCHED STRAPLESS DRESS,strapless straight neck dress ruched fabric elastic at back front button closure,WOMAN
SHORT DRESS WITH LACE,mini dress with straight neckline and adjustable spaghetti straps small bot at chest contrasting interior lining back hidden inseam zip closure,WOMAN
WRAP NECK DRAPED DRESS,flowy midi dress with crossover vneckline at front and back and long sleeves draped fabric detail at waist,WOMAN
LINED SLIP DRESS,midi dress with vneckline and spaghetti straps matching interior lining,WOMAN
DRAPED MINI DRESS,dress with asymmetric neckline opening and metal appliqu at shoulder ruching detail at sides back zip closure,WOMAN
STRAPLESS DRESS,fitted midi dress with foldover straight neckline and exposed shoulders with long sleeves,WOMAN
METALLIC MESH KNIT DRESS,vneck dress with long sleeves interior lining front wrap closure with thin belt,WOMAN
RUFFLED SHIRT DRESS,mini dress with high collar and long sleeves front ruffle detail front button closure,WOMAN
COMBINATION SLIP DRESS,midi dress with round neck and adjustable spaghetti straps,WOMAN
SHORT LINED DRESS,short slip dress with vneck with spaghetti straps,WOMAN
POLYAMIDE MINI DRESS,round neck fitted mini dress with long sleeves,WOMAN
RUCHED TULLE CORSET STYLE DRESS,underwire mini dress with offtheshoulder sweetheart neckline and long sleeves ruched fabric back hidden inseam zip closure,WOMAN
POLYAMIDE OFF-THE-SHOULDER DRESS,fitted long sleeve dress with straight offtheshoulder neckline,WOMAN
EVERLAST® X ZARA POLYAMIDE DRESS,fitted dress with high collar and long sleeves contrast everlast text at collar and sleeve everlast x zara,WOMAN
LINGERIE STYLE PRINT DRESS,vneck dress with slit and spaghetti straps interior lining,WOMAN
STRIPED KNIT MIDI DRESS,dress with round neck and long sleeves side vents at hem rib trim,WOMAN
LONG LINED DRESS,lined dress with vneckline and thin straps,WOMAN
LITTLE BOW LACE MINI DRESS,long sleeve mini dress with squared neckline with little bow trim contrasting interior lining back hidden inseam zip closure,WOMAN
DRAPED KNIT MINI DRESS,short dress with foldover straight neckline and metal appliqu exposed shoulders and long sleeves,WOMAN
COMBINATION BELTED DRESS,mini dress with straight neckline and spaghetti straps contrasting fabric detail belt with metal buckle back hidden inseam zip closure,WOMAN
SATIN EFFECT MIDI DRESS,round neck short sleeve dress fitted waist back opening with button closure,WOMAN
STRIPED KNIT MIDI DRESS,long sleeve high collar dress rib trim,WOMAN
LINGERIE STYLE PRINT DRESS,long dress with vneck and spaghetti straps aline silhouette contrasting interior lining,WOMAN
SHORT DRESS WITH RUCHING,dress made of knit fabric with round neck and long sleeves draped fabric matching interior lining back hidden inseam zip closure,WOMAN
RUFFLY KNIT MIDI DRESS,midi dress made with a ruffly knit round neck and long sleeves,WOMAN
METALLIC STRETCH KNIT MINI DRESS,mini dress with high collar and short sleeves metallic fabric detail,WOMAN
SLEEVELESS DRAPED MIDI DRESS,sleeveless knit fabric dress with high collar draped fabric matching interior lining back slit back hidden inseam zip closure,WOMAN
DRAPED KNITWEAR DRESS,midi dress with foldover straight neckline and metal appliqu exposed shoulders and long sleeves,WOMAN
GATHERED SLIP DRESS,midi dress with ruched vneck and spaghetti straps side hidden inseam zip closure,WOMAN
SHORT RIBBED DRESS,mini dress with round neck and long sleeves unfinished trim,WOMAN
STRETCHY FABRIC BELTED DRESS,dress with a round collar and vneck front with belowtheelbow length balloon sleeves with elasticized cuffs self belt front button closure,WOMAN
WOOL DRESS ZW COLLECTION,zara woman collection midi dress made of wool fabric round neckline back hidden inseam zip closure,WOMAN
MINI DRESS WITH INTERIOR BOTTOM,round neck dress with short sleeves tonal interior bottom,WOMAN
KNOTTED CREPE MIDI DRESS,dress with round neck and long sleeves front knot detail at waist,WOMAN
ZIPPERED SHIRTDRESS,lapel collar midi dress with vneck and long sleeves tailored waist with side gathers false front flap pocket front zip closure,WOMAN
STRIPED LEATHER SKIRT LIMITED EDITION,skirt with a high waist made of leather aline silhouette tonal interior viscose lining side metal zip closure,WOMAN
JEWEL FRONT T-SHIRT,slim fit round neck regular length short sleeve round neck short sleeve tshirt rhinestone appliqus,WOMAN
RED TEMPTATION 30 ML,zara red temptation edp ml fl oz an eau de parfum dressed up with the warm and textural notes of precious saffron and coriander bitter orange provides a fruity and colorful touch to the luminous floral bouquet the brightness of jasmine reveals all the sensuality and femininity of white flowers enhanced by a praline accord modern and highly addictive the flowers highlight the potency of moss and woody amber notes wrapped in a musky cloud leaving a wake of complete femininity,WOMAN
JACQUARD PANTS ZW COLLECTION,zara woman collection pants made of wool blend fabric mid waist and adjustable elastic drawstring waistband short interior lining jacquard fabric detail straight leg the play of layers and textures star in these double layered pants with semisheer fabric made of jacquard matching dress available,WOMAN
RED TEMPTATION 80 ML,zara red temptation edp ml fl oz an eau de parfum dressed up with the warm and textural notes of precious saffron and coriander bitter orange provides a fruity and colorful touch to the luminous floral bouquet the brightness of jasmine reveals all the sensuality and femininity of white flowers enhanced by a praline accord modern and highly addictive the flowers highlight the potency of moss and woody amber notes wrapped in a musky cloud leaving a wake of complete femininity,WOMAN
DRESS WITH DRAPED NECKLINE,draped neck midi dress with double spaghetti straps,WOMAN
FITTED MINI DRESS,short dress with straight neckline and spaghetti straps,WOMAN
PRINTED SHORT DRESS,dress with drawstring round collar vneckline and belowtheelbow length sleeves with elastic cuffs elastic waist flounced hem,WOMAN
SEMI-SHEER DRESS STEVEN MEISEL,strapless semisheer mini dress with wide neckline wrinkled fabric aline hem,WOMAN
RIB T-SHIRT DRESS,tshirt dress made of cotton blend fabric round neckline and drop sleeve rib trim,WOMAN
SOFT WRAP KIMONO,kimono made of soft fabric wrap vneckline and long sleeves with dropped shoulders front wrap closure with self tie,WOMAN
FULL MIDI SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made of a cotton blend pleats at hem with volume hidden inseam zip closure,WOMAN
FULL MIDI SKIRT ZW COLLECTION,zara woman collection midi skirt with a high elastic waist side hidden inseam pockets pleats at waist a midi skirt with medium volume with a design inspired by technical garments made in a fabric with a substantial weight and drape it is a garment with presence in which details like side pockets and a comfortable gathered elastic waistband are highlighted,WOMAN
PRINTED MIDI SKIRT,satin effect skirt with high elastic waistband,WOMAN
FLORAL PRINT PLEATED SKIRT,midi skirt with a high waist elastic waistband and pleats interior lining,WOMAN
SATIN EFFECT MIDI SKIRT,high rise midi skirt with elastic waistband,WOMAN
PLEATED MIDI SKIRT ZW COLLECTION,zara woman collection midi skirt with a frayed high waist box pleat detail and topstitching side hidden inseam zip closure this pleated skirt highlights details like the frayed waist and hem and the topstitched pleats at the yoke in its design,WOMAN
MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a high waist side hidden inseam zip closure,WOMAN
SLIT HEM SKORT,highwaisted skort front slit at hem side hidden inseam zip closure,WOMAN
PRINTED PENCIL SKIRT ZW COLLECTION,zara woman collection pencil skirt with a high waist made of viscose contrasting print back hidden inseam zip closure,WOMAN
JACQUARD MIDI SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made of printed jacquard fabric box pleat detail below the yoke side hidden inseam zip closure with a new interpretation of contemporary floral prints this midi skirt offers a silhouette full of movement with a yoke from which box pleats fall soft jacquard fabric and some volume at the hem,WOMAN
SATIN EFFECT MIDI SKIRT,satin effect midi skirt with a high waist and elastic interior waistband aline silhouette,WOMAN
HIGH WAIST MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a high waist made of viscose side hidden inseam zip closure,WOMAN
FAUX SUEDE PLEATED SKIRT,midi skirt with a high waist and tonal belt zip closure,WOMAN
BALLOON MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a mid waist with pleats voluminous hem side hidden inseam zip closure,WOMAN
Z1975 DENIM MIDI SKIRT,skirt with a high waist and five pockets washed effect front slit at hem front button closure,WOMAN
LONG POLYAMIDE SKIRT,long skirt with a high elastic waistband and zigzag seams,WOMAN
LACE MIDI SKIRT,skirt with a mid waist in tonal matching fabric side hidden metal hook closure this item is unlined,WOMAN
STRETCH KNIT MIDI SKIRT,skirt made of knit fabric high elastic waist,WOMAN
PLEATED SKORT,mini skirt with a mid waist inner shortsstyle lining box pleat detail belt with metal buckle side hidden inseam zip closure,WOMAN
MIXED MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a high waist made of viscose belt loops back pockets contrasting fabric trim front slit side hidden inseam zip closure,WOMAN
LACE TRIM SLIP SKIRT,midi skirt with a mid elastic waist contrast lace trim front slit,WOMAN
TEXTURED SKORT,high waist skort side hidden inseam zip closure,WOMAN
STRETCH KNIT MINI SKIRT,mini skirt made of knit fabric with a high elastic waist,WOMAN
BOX PLEAT MINI SKIRT,mid rise mini skirt wrap fabric detail with pleats hidden interior zip closure and hidden front snap buttons,WOMAN
PLEATED MIDI SKIRT,midi skirt with a high waist with piping detail box pleat detail side hidden inseam zip closure,WOMAN
MID WAIST Z1975 DENIM MIDI SKIRT,skirt with a mid waist with front pockets and back patch pockets washed effect aline silhouette front zip and button closure,WOMAN
WAISTBAND DETAIL SKORT,skort with mid waist side hidden inseam zip closure,WOMAN
PLEATED MINI SKORT,highwaisted skort with pleats side hidden inseam zip closure,WOMAN
BOX PLEAT MINI SKIRT,highwaisted short skirt finished with box pleats side hidden inseam zip closure,WOMAN
METALLIC SKIRT WITH PRINT,skirt with elastic waistband and adjustable drawstring interior lining metallic thread detail,WOMAN
SATIN EFFECT PLEATED MIDI SKIRT,high rise midi skirt with elastic waistband,WOMAN
SATIN EFFECT MIDI SKIRT,skirt with high elastic waistband,WOMAN
CARGO MINI SKIRT,mini skirt with a mid waist with belt loops front patch pocket side metal zip closure,WOMAN
SATIN EFFECT MIDI SKIRT,skirt with high elastic waistband,WOMAN
ASYMMETRIC SKORT,high waist skort pareo style self overlay side hidden inseam zip closure,WOMAN
SATIN EFFECT MIDI SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made of viscose aline silhouette hidden inseam zip closure,WOMAN
PENCIL SKIRT WITH GOLD BUTTONS,midi skirt with a high waist with false front gold buttons front slit at hem hidden inseam zip closure,WOMAN
SATIN EFFECT PLEATED SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made of pleated satin effect fabric aline silhouette hidden inseam zip closure the pleats remain a trend and are renewed this season with intense shades and soft touch fabrics like those of this midi skirt with a discreet satiny shine a garment full of movement that is perfect to put a sophisticated accent on any wardrobe staple,WOMAN
FRINGED LEATHER SKIRT LIMITED EDITION,midi skirt with a high waist made of leather front hidden inseam pockets selffringe detail front slit back hidden inseam zip closure,WOMAN
LEATHER WRAP SKIRT LIMITED EDITION,wrap midi skirt made of leather with a high waist side hidden inseam pockets front slit front adjustable wrap closure with self ties,WOMAN
PRINTED SATIN EFFECT MIDI SKIRT,skirt with a high elastic waist semisheer detail at hem,WOMAN
PLEATED SKIRT ZW COLLECTION,zara woman collection midi skirt with a mid waist and belt loops pleated fabric and pronounced topstitching asymmetric hem front button closure,WOMAN
PLEATED DENIM SKIRT,skirt with a mid waist with belt loops box pleats and contrast topstitching front zip metal hook and interior button closure,WOMAN
RUSTIC MIDI SKIRT,midi skirt with a high waist with back hidden inseam zipper aline silhouette,WOMAN
SATIN EFFECT SLIP SKIRT,skirt with a mid elastic waist small bow at waist,WOMAN
BOX PLEAT MIDI SKIRT ZW COLLECTION,zara woman collection semisheer skirt with a high waist made of a viscose blend pronounced topstitching detail interior lining box pleats at hem hidden inseam zip closure,WOMAN
PRINTED PLEATED MIDI SKIRT,high waisted skirt with pleats side hidden inseam zip closure,WOMAN
BALLOON MIDI SKIRT,midi skirt with a high waist and elastic waistband side pockets adjustable volume hems with elastic cord and toggles,WOMAN
POPLIN MIDI SKIRT,skirt with elastic waistband and front pockets,WOMAN
SIDE SLIT MINI SKIRT,skirt with front pockets rounded side slits at hem front zip interior button and hooks closure,WOMAN
WRAP FRONT SKORT,high rise skort with front wrap side hidden inseam zip closure,WOMAN
MIDI SKIRT WITH SLIT,skirt with a high waist wrap front with slit detail back hidden inseam zip closure,WOMAN
BRAIDED BELT MINI SKIRT,skirt with a high waist woven belt with gold buckle aline silhouette side hidden inseam zip closure,WOMAN
SATIN EFFECT MIDI SKIRT,skirt with a high elastic waist,WOMAN
LAYERED 100% WOOL SKIRT ZW COLLECTION,zara woman collection skirt made of textured wool high waist with tonal fabric trim and frayed edges matching interior lining side hidden inseam zip closure a voluminous layered skirt in natural shades the wool fabric lends value to the feel of this fiber its vertically seamed design displays the volume of the skirt while walking,WOMAN
ELASTIC WAIST MAXI SKIRT,long skirt with elastic waist and ruching side patch pockets with flaps,WOMAN
PLEATED SATIN EFFECT SKIRT,high rise midi skirt with elastic waistband,WOMAN
CAPE SKIRT ZW COLLECTION,zara woman collection midi skirt made of wool blend fabric with a high waist pleats at waist hidden inseam zip closure,WOMAN
PLEATED SKORT,mid rise mini skirt inner shortsstyle lining box pleat detail selfbelt with metal buckle side hidden inseam zip closure,WOMAN
MIDI PENCIL SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made of viscose blend tailored fit back slit at hem hidden inseam zip closure,WOMAN
CLEAN INTERLOCK PLUSH MIDI SKIRT,midi skirt made of flexible stretch knit fabric with soft dense opaque weave high waist with adjustable elastic drawstring waistband back slit,WOMAN
RUFFLED SATIN EFFECT SKIRT,midi skirt with a mid waist elastic waistband with ruffle detail and small bow side slit at hem,WOMAN
Z1975 DENIM MIDI SKIRT,skirt with a high waist with front pockets and back patch pockets front zip and button closure,WOMAN
BELTED WAXED MINI SKIRT,mini skirt with a mid waist made of waxed fabric gusseted flap pockets at front and patch pockets at back belt with metal buckle side hidden inseam zip closure,WOMAN
PLEATED RUSTIC KNIT SKIRT,skirt with a high elastic waist pleat detail,WOMAN
COMBINATION WRAP FRONT SKORT,skort with a mid waist and front false welt pockets contrast trim wrap front hidden zipper interior button and hook closure,WOMAN
MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a high waist side hidden inseam zip closure,WOMAN
PLEATED SKORT,highwaisted skort with pleats side hidden inseam zip closure,WOMAN
CRINKLE EFFECT MIDI SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made of wrinkled effect fabric front false welt pockets tonal interior lining side hidden inseam zip closure fabrics with innovative textures are the stars of this midi skirt with a yoke and medium volume the fabric was designed to maintain its characteristic rough texture with use and washing,WOMAN
DIAGONAL SEAMS CREPE MIDI SKIRT,skirt with a high waist pronounced diagonal seam detail slit at hem side hidden inseam zip closure,WOMAN
ASYMMETRIC SKORT,highwaisted skort front false welt pockets pareo style self overlay side hidden inseam zip closure,WOMAN
PLEATED SKORT,highwaisted skort with pleats side hidden inseam zip closure,WOMAN
RUFFLY WAIST SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made of textured fabric multiple pleats at waist hidden inseam side pockets hidden inseam zip closure midi skirt with gathered waistband that aligns itself with the trend of ethereal pieces with a delicate aesthetic its textured cotton blend fabric converts it into a comfortable garment that goes well with many pieces,WOMAN
PLEATED KNIT MINI SKIRT,skirt with high elastic waistband,WOMAN
BALLOON MIDI SKIRT,midi skirt with a high waist made of cotton elastic interior at waist balloon hem,WOMAN
CONTRAST WAIST SKORT,skort with a mid waist in contrast fabric box pleats at hem front zip and metal hook closure,WOMAN
SOFT MIDI SKIRT,midi skirt made of soft touch fabric high elastic waistband unfinished hem,WOMAN
LONG RIBBED SKIRT,skirt made of a cotton blend high elastic waist back slit,WOMAN
TEXTURED WEAVE MINI SKIRT,mini skirt with a mid waist tonal interior lining side hidden inseam zip closure,WOMAN
WOOL BIAS SKIRT ZW COLLECTION,zara woman collection midi skirt with a mid waist made of a wool blend aline silhouette side hidden inseam zip closure,WOMAN
ZW COLLECTION VOLUMINOUS JACQUARD SKIRT,zara woman collection midi skirt made of textured fabric box pleat skirt with a high waist tonal interior lining interior elastic hem the pleat and shapes take the lead in the design of this skirt made with a floral jacquard texture the symmetric box pleats that fall from the waist to create a voluminous hem with a subtle threedimensional effect highlight this skirts structure,WOMAN
PLEATED SKORT,skirt with a mid waist inner shortsstyle lining box pleat detail side hidden inseam zip closure,WOMAN
STUDDED BOX PLEAT SKORT,skort with a high waist and pleats with metal studs side hidden inseam zip closure,WOMAN
PLAID ORGANZA SKIRT,midi skirt with a high waist organza fabric overlay hidden inseam zip closure,WOMAN
PRINTED MIDI SKIRT,skirt with a high elastic waist,WOMAN
MIDI SKIRT WITH BELT,belted skirt with a high waist aline silhouette side hidden inseam zip closure,WOMAN
DENIM SKIRT TRF,five pocket denim skirt with a mid waist washed effect back slit front zip and metal button closure,WOMAN
FAUX LEATHER MIDI SKIRT ZW COLLECTION,zara woman collection faux leather midi skirt with a mid waist asymmetric balloon hem hidden inseam zip closure,WOMAN
WASHED EFFECT RIB PANTS,pants with a skirt style foldover high waist flared legs due to the dyeing and washing processes the color on each item is unique and special and may differ slightly from the one pictured,WOMAN
ANIMAL PRINT SATIN EFFECT MIDI SKIRT,high rise midi skirt with elastic waistband,WOMAN
COMBINATION SATIN EFFECT SLIT SKORT,skort with a high waist and satin effect bands at sides front slits at hem side hidden inseam zip closure,WOMAN
PRINTED MINI SKIRT WITH RUFFLES,skirt with elastic waistband and ruffles interior lining,WOMAN
PLEATED MIDI SKIRT ZW COLLECTION,zara woman collection midi skirt with a high elastic waist pleated fabric asymmetric hem,WOMAN
WOOL PENCIL SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made of a wool blend back slit at hem hidden inseam zip closure,WOMAN
LAYERED BOX PLEAT SKIRT ZW COLLECTION,zara woman collection layered skirt with a high waist side hidden inseam pockets pleat detail back hidden inseam zip closure skirt with a distinctive design that plays with shapes and the symmetry of its pleats wide side panels fall from its structured waistband which display the volume of the skirt while walking,WOMAN
SLIT SKORT,high waist skort front slit side hidden inseam zip closure,WOMAN
PLEATED BUCKLED MINI SKIRT,pleated skirt with a high waist and side buckles hidden inseam zip closure,WOMAN
PRINTED MINI SKIRT,skirt with a high waist and ruffle trim metallic thread detail side hidden inseam zip closure,WOMAN
PRINTED SARONG SKIRT,skirt with a high waist with knotted front wrap slit at hem and semisheer lining,WOMAN
PLEATED SPLIT SKIRT,highwaisted skort with pleats side hidden inseam zip closure,WOMAN
PLEATED SKORT,highwaisted shorts with front pleats side hidden inseam zip closure,WOMAN
BASIC KNIT SKIRT,high rise midi skirt with elastic waistband,WOMAN
SATIN EFFECT MIDI SKIRT ZW COLLECTION,zara woman collection satin effect midi skirt made of viscose with a high waist aline silhouette hidden inseam zip closure,WOMAN
BUTTONED MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a high waist front embossed metal button detail aline silhouette hidden inseam zip closure,WOMAN
POLKA DOT PRINT MIDI SKIRT,highwaisted skirt side hidden inseam zip closure,WOMAN
BELTED SKORT,skort with a mid waist with contrast waistband and metal buckle,WOMAN
CONTRASTING WAIST PENCIL SKIRT,skirt with a high waist and contrasting waist front pockets slit at hem front zip metal hook and interior button closure,WOMAN
MIDI SKIRT WITH ELASTIC WAISTBAND,skirt with a high elastic waist front pockets back slit,WOMAN
ASYMMETRIC SKORT,skort with a high waist false back welt pockets self overlay tabbed wrap detail and metal buckle side hidden inseam zip closure,WOMAN
KNIT MIDI SKIRT,skirt with elastic waistband back slit,WOMAN
SIDE BUCKLE SKORT,skort with a high waist front pleat and buckled wrap detail side hidden inseam zip closure,WOMAN
LONG FAUX FUR SKIRT,long skirt made of soft touch faux fur fabric high elastic waist,WOMAN
SATIN EFFECT MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a mid waist with front false welt pockets tonal interior viscose lining hidden inseam zip closure,WOMAN
SATIN EFFECT SKIRT ZW COLLECTION,zara woman collection midi skirt made of satin effect fabric high waist with hidden inseam zipper back slit,WOMAN
PLEATED TWILL SKORT,highwaisted skort with front darts side hidden inseam zip closure,WOMAN
SATIN EFFECT MIDI SKIRT ZW COLLECTION,zara woman collection satin effect midi skirt with a high waist aline silhouette hidden inseam zip closure,WOMAN
PLEATED ASYMMETRICAL SKIRT,skirt made of pleated fabric high elastic waist asymmetric hem with high sides,WOMAN
PRINTED MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a high waist made of viscose contrasting print side hidden inseam zip closure,WOMAN
FAUX LEATHER SKORT,skort with mid rise waist and belt loops front pockets and side patch pockets front zip and snap button closure,WOMAN
BELTED BOX PLEATED SKIRT,box pleat skirt with a low waist belt with metal buckle side hidden inseam zip closure,WOMAN
DOUBLE WAISTBAND SKORT,skort with a high waist and double waist front zip interior button and hooks closure,WOMAN
EVERLAST® X ZARA POLYAMIDE SKIRT,long skirt with a high elastic waistband contrast everlast text everlast x zara,WOMAN
SOFT MINI SKIRT,mini skirt with a mid elastic waistband soft feel fabric,WOMAN
RUFFLED HEM CREPE MIDI SKIRT,skirt with a high waist and ruffled hem side hidden inseam zip closure,WOMAN
PLEATED KNIT SKIRT,mini skirt with a wide high elastic waistband,WOMAN
LONG FLOWY SKIRT,flowy long skirt with a high waist hidden inseam side zip closure,WOMAN
WOOL BLEND CAPE SKIRT ZW COLLECTION,zara woman collection midi skirt with a high waist made with wool aline silhouette hidden inseam zip closure,WOMAN
WAISTBAND DETAIL SKORT,skort with mid waist contrasting fabric waist with adjustable drawstring front pleat detail side hidden inseam zip closure,WOMAN
SPLIT SKIRT WITH FRONT DARTS,highwaisted skort with front darts side hidden inseam zip closure,WOMAN
MIXED BOX PLEAT MINI SKIRT,mini skirt with a mid waist with belt loops front pockets skirt with voluminous box pleats and matching fabric front zip and metal hook closure,WOMAN
BUCKLED CREPE MINI SKIRT,skirt with a high waist and front slit and buckle at waist front slit at hem side hidden inseam zip closure,WOMAN
LOW WAIST DENIM MINI SKIRT,mini skirt with double detail low waist front pockets and back patch pockets front zip and metal button closure,WOMAN
SIDE SLIT SKORT,skort with a high waist side vents at hem hidden inseam zip closure,WOMAN
BOX PLEAT KNIT MINI SKIRT,skirt with a high elastic waist pleat detail,WOMAN
PEARL KNIT MINI SKIRT,skirt made with wool and alpaca high elastic waist faux pearl appliqu aline silhouette,WOMAN
STRAIGHT KNIT SKIRT,skirt with a high elastic waist back slit,WOMAN
METALLIC THREAD KNIT MIDI SKIRT,midi skirt with a high waist and elastic waistband slit at hem metallic thread detail,WOMAN
WOOL BLEND PINSTRIPE SKIRT ZW COLLECTION,zara woman collection skirt with a mid waist made of wool belt loops box pleats and unfinished hem side hidden inseam zip closure,WOMAN
CARGO MINI SKIRT,midrise mini skirt with belt loops front patch pockets and back flap pockets front zip and button closure,WOMAN
LOW WAIST BOX PLEAT SKIRT,skort with a low waist with belt loops box pleat detail side metal zip closure,WOMAN
COMBO BOXER SKORT,skort with a high waist with boxer style interior with elastic waistband tonal belt with adjustable metal buckle side hidden inseam zip closure,WOMAN
WOOL BLEND MINI SKIRT ZW COLLECTION,zara woman collection mini skirt with a high waist made of wool hidden inseam zip closure,WOMAN
LEATHER MINI SKIRT LIMITED EDITION,short skirt made of leather asymmetrical mid waist front hidden inseam pockets draped front details back hidden inseam zip closure,WOMAN
MINI SKIRT,mini skirt with a high waist side hidden inseam zip closure,WOMAN
FAUX LEATHER PLEATED MINI SKIRT,pleated skirt with a high waist unfinished hem side hidden inseam zip closure,WOMAN
WOOL BLEND KNIT MINI SKIRT,mini skirt made with wool high elastic waist,WOMAN
ASYMMETRICAL CAPE SKIRT ZW COLLECTION,zara woman collection cape style midi skirt with a mid waist and belt loop waistband asymmetric hem side hidden inseam zip closure,WOMAN
100% WOOL MIDI SKIRT,skirt made of wool high elastic waist,WOMAN
PLUSH WASHED EFFECT LONG SKIRT,mid rise long skirt with elastic waistband washed effect fabric due to the dyeing and washing processes the color on each item is unique and special and may differ slightly from the one pictured,WOMAN
SATIN EFFECT PLEATED SKIRT ZW COLLECTION,zara woman collection midi skirt made of pleated satin effect fabric with a wrinkled finish high elastic waist,WOMAN
MINIMALIST SOFT SWING SKIRT,long skirt with a high elastic waist swing skirt,WOMAN
BOX PLEAT MINI SKIRT,mini skirt with a mid waist made of soft touch fabric box pleat detail side hidden inseam zip closure,WOMAN
